latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-18.7805,32.7244,308.1,4,1.9,1/3/2011,847,Terra,MODIS,37,6.2,292.1,42.9,D,0
-18.7851,32.7184,308.9,4,1.9,1/3/2011,847,Terra,MODIS,32,6.2,292.3,43.4,D,0
-21.9754,30.1699,314.4,2.8,1.6,1/3/2011,848,Terra,MODIS,0,6.2,293.3,41.1,D,0
-20.0016,32.9895,318.4,1,1,1/3/2011,1134,Aqua,MODIS,17,6.2,303.8,8.9,D,0
-18.7898,32.7197,358.5,1,1,1/3/2011,1135,Aqua,MODIS,99,6.2,300.8,75.8,D,0
-18.7912,32.7103,354.7,1,1,1/3/2011,1135,Aqua,MODIS,97,6.2,303.5,65.9,D,0
-18.7808,32.7183,373.9,1,1,1/3/2011,1135,Aqua,MODIS,100,6.2,307,123.9,D,0
-18.7822,32.7088,364.5,1,1,1/3/2011,1135,Aqua,MODIS,100,6.2,302.1,92.5,D,0
-19.8855,32.9291,330.4,1.3,1.1,1/5/2011,1122,Aqua,MODIS,81,6.2,293.1,36.1,D,0
-21.0444,31.6496,312.7,1.1,1,2/1/2011,817,Terra,MODIS,41,6.2,293.9,8.5,D,0
-20.1743,32.6256,310.6,1.4,1.2,2/8/2011,823,Terra,MODIS,49,6.2,294.9,11,D,0
-20.1704,32.6265,310.6,2.2,1.4,2/8/2011,1110,Aqua,MODIS,52,6.2,295,20.1,D,0
-19.897,32.9391,319,1.1,1,2/13/2011,1128,Aqua,MODIS,70,6.2,296.2,14.7,D,0
-17.3592,30.2531,316.7,1.2,1.1,2/15/2011,829,Terra,MODIS,27,6.2,299,12.6,D,0
-19.8562,32.9525,312.2,2.1,1.4,2/24/2011,1110,Aqua,MODIS,55,6.2,291.3,23.9,D,0
-20.0013,32.6993,342.2,2.2,1.4,2/24/2011,1110,Aqua,MODIS,91,6.2,289.8,137.5,D,0
-17.8746,31.0247,311,1.3,1.1,3/3/2011,829,Terra,MODIS,43,6.2,294.1,6.6,D,0
-18.4029,26.4124,307,4.6,2,3/3/2011,1117,Aqua,MODIS,17,6.2,289.3,34,D,0
-18.3579,26.4312,323.6,1,1,3/10/2011,835,Terra,MODIS,70,6.2,307.1,12.1,D,0
-20.1846,32.3446,322.1,1.4,1.2,3/10/2011,1122,Aqua,MODIS,68,6.2,304.1,12.6,D,0
-21.9004,30.052,315.7,1.1,1,3/12/2011,824,Terra,MODIS,34,6.2,299.1,11.3,D,0
-20.488,28.0295,319.1,2.2,1.4,3/17/2011,1129,Aqua,MODIS,53,6.2,298.1,34.7,D,0
-19.8572,32.943,315,1.1,1,3/17/2011,1129,Aqua,MODIS,48,6.2,295.1,11.6,D,0
-20.4858,28.0505,322.6,2.2,1.4,3/17/2011,1129,Aqua,MODIS,71,6.2,299.9,44.2,D,0
-19.8559,32.9529,321.5,1.1,1,3/17/2011,1129,Aqua,MODIS,70,6.2,296.5,17.8,D,0
-21.3598,32.0215,324.4,2.6,1.5,3/18/2011,1211,Aqua,MODIS,40,6.2,302.6,42.6,D,0
-18.1373,30.9157,312.5,1.3,1.1,3/19/2011,829,Terra,MODIS,49,6.2,297,8.9,D,0
-18.4307,26.4944,314.9,1,1,3/19/2011,829,Terra,MODIS,50,6.2,298.3,6.3,D,0
-20.9801,31.7203,315.2,1.6,1.3,3/19/2011,830,Terra,MODIS,46,6.2,298,14.3,D,0
-20.2328,29.0706,328.3,1.1,1,3/20/2011,1159,Aqua,MODIS,68,6.2,302.8,19.1,D,0
-19.0152,31.0055,310.8,1,1,3/21/2011,817,Terra,MODIS,19,6.2,292.3,5.3,D,0
-21.2374,31.9255,337.8,1.1,1,3/22/2011,1147,Aqua,MODIS,85,6.2,310.4,17.8,D,0
-21.2359,31.9357,337.4,1.1,1,3/22/2011,1147,Aqua,MODIS,84,6.2,310.3,17.5,D,0
-21.2289,31.9336,327.4,1,1,3/23/2011,805,Terra,MODIS,73,6.2,307.1,9,D,0
-21.2275,31.9239,327,1,1,3/23/2011,805,Terra,MODIS,73,6.2,306.1,8.4,D,0
-21.735,31.7589,304.7,1.6,1.3,3/23/2011,2015,Terra,MODIS,61,6.2,289.2,9.9,N,0
-21.7482,31.7447,327.6,1.6,1.3,3/23/2011,2015,Terra,MODIS,100,6.2,289.8,50.6,N,0
-21.7464,31.7604,313.5,1.6,1.3,3/23/2011,2015,Terra,MODIS,87,6.2,288.8,22,N,0
-21.7368,31.7433,326.7,1.6,1.3,3/23/2011,2015,Terra,MODIS,100,6.2,290.3,48.8,N,0
-21.7561,31.7552,316.6,3.7,1.8,3/24/2011,848,Terra,MODIS,41,6.2,295.9,45.5,D,0
-21.7316,31.7227,323.6,1.1,1,3/24/2011,1134,Aqua,MODIS,51,6.2,305,9.4,D,0
-21.7665,31.724,326.8,1.1,1,3/24/2011,1134,Aqua,MODIS,39,6.2,305.7,12.5,D,0
-20.7821,31.8198,324.6,1.1,1,3/24/2011,1134,Aqua,MODIS,42,6.2,303.1,8.4,D,0
-21.7371,31.7301,352.1,1.1,1,3/24/2011,1134,Aqua,MODIS,95,6.2,308.5,57.2,D,0
-21.7385,31.7197,358.5,1.1,1,3/24/2011,1134,Aqua,MODIS,99,6.2,306.5,76.6,D,0
-21.7288,31.7435,326.9,1.1,1,3/24/2011,1134,Aqua,MODIS,65,6.2,308.8,12.6,D,0
-21.7302,31.7331,326.5,1.1,1,3/24/2011,1134,Aqua,MODIS,66,6.2,306.1,12.8,D,0
-21.7435,31.6714,319.5,1.8,1.3,3/24/2011,2058,Terra,MODIS,99,6.2,295.4,34.5,N,0
-21.7466,31.6543,323.4,1.8,1.3,3/24/2011,2058,Terra,MODIS,100,6.2,295.4,43.5,N,0
-21.7551,31.6743,311.9,4.8,2,3/24/2011,2229,Aqua,MODIS,84,6.2,291.1,94.8,N,0
-21.7594,31.6808,310.1,4.8,2,3/24/2011,2229,Aqua,MODIS,79,6.2,291.1,80.2,N,0
-21.7417,31.6855,303.5,4.8,2,3/24/2011,2229,Aqua,MODIS,56,6.2,290.5,42.5,N,0
-21.7575,31.6511,321.7,1.4,1.2,3/25/2011,753,Terra,MODIS,34,6.2,303,13.8,D,0
-21.7551,31.6376,324.2,1.4,1.2,3/25/2011,753,Terra,MODIS,71,6.2,301.5,19.5,D,0
-21.7693,31.6246,307.4,2.8,1.6,3/25/2011,2003,Terra,MODIS,66,6.2,293.6,28.1,N,0
-21.7573,31.5957,310.8,2.8,1.6,3/25/2011,2003,Terra,MODIS,73,6.2,293.9,36.6,N,0
-21.7103,31.5786,305.9,2.8,1.6,3/25/2011,2003,Terra,MODIS,20,6.2,294,23.2,N,0
-21.7701,31.5918,305.5,2.8,1.6,3/25/2011,2003,Terra,MODIS,56,6.2,293.7,23.1,N,0
-21.7674,31.6191,314.1,2.8,1.6,3/25/2011,2003,Terra,MODIS,87,6.2,293.9,50.3,N,0
-21.712,31.5857,307.7,2.8,1.6,3/25/2011,2003,Terra,MODIS,67,6.2,294.3,29.6,N,0
-21.7694,31.6314,323.9,1,1,3/25/2011,2312,Aqua,MODIS,100,6.2,295.8,20.7,N,0
